Phenotype,Read code,Description,DESC_UKHD,DESC_UKHD_30,DESC_UKHD_60,DESC_UKHD_198,Category
CANCER                        ,B50..,Malignant neoplasm of eye                                                                                                                                                                                                                                      ,Malignant neoplasm of eye                                                                                                                                                                             ,Malig neop eye                ,Malignant neoplasm of eye                                   ,,Solid tumour (3)                                  
CANCER                        ,B500.,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid                                                                                                                                                                                                   ","Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid                                                                                                                       ",Malig neop eyeball ex spec pt ,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid","Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid                                                                                                                       ",Solid tumour (3)                                  
CANCER                        ,B5000,Malignant neoplasm of ciliary body                                                                                                                                                                                                                             ,Malignant neoplasm of ciliary body                                                                                                                                                                    ,Malig neop ciliary body       ,Malignant neoplasm of ciliary body                          ,,Solid tumour (3)                                  
CANCER                        ,B5001,Malignant neoplasm of iris                                                                                                                                                                                                                                     ,Malignant neoplasm of iris                                                                                                                                                                            ,Malig neop iris               ,Malignant neoplasm of iris                                  ,,Solid tumour (3)                                  
CANCER                        ,B500z,Malignant neoplasm of eyeball NOS                                                                                                                                                                                                                              ,Malignant neoplasm of eyeball NOS                                                                                                                                                                     ,Malig neop eyeball NOS        ,Malignant neoplasm of eyeball NOS                           ,,Solid tumour (3)                                  
CANCER                        ,B501.,Malignant neoplasm of orbit                                                                                                                                                                                                                                    ,Malignant neoplasm of orbit                                                                                                                                                                           ,Malig neop orbit              ,Malignant neoplasm of orbit                                 ,,Solid tumour (3)                                  
CANCER                        ,B5010,Malignant neoplasm of connective tissue of orbit                                                                                                                                                                                                               ,Malignant neoplasm of connective tissue of orbit                                                                                                                                                      ,Malig neop connect tiss orbit ,Malignant neoplasm of connective tissue of orbit            ,,Solid tumour (3)                                  
CANCER                        ,B501z,Malignant neoplasm of orbit NOS                                                                                                                                                                                                                                ,Malignant neoplasm of orbit NOS                                                                                                                                                                       ,Malig neop orbit NOS          ,Malignant neoplasm of orbit NOS                             ,,Solid tumour (3)                                  
CANCER                        ,B502.,Malignant neoplasm of lacrimal gland                                                                                                                                                                                                                           ,Malignant neoplasm of lacrimal gland                                                                                                                                                                  ,Malig neop lacrimal gland     ,Malignant neoplasm of lacrimal gland                        ,,Solid tumour (3)                                  
CANCER                        ,B503.,Malignant neoplasm of conjunctiva                                                                                                                                                                                                                              ,Malignant neoplasm of conjunctiva                                                                                                                                                                     ,Malig neop conjunctiva        ,Malignant neoplasm of conjunctiva                           ,,Solid tumour (3)                                  
CANCER                        ,B504.,Malignant neoplasm of cornea                                                                                                                                                                                                                                   ,Malignant neoplasm of cornea                                                                                                                                                                          ,Malig neop cornea             ,Malignant neoplasm of cornea                                ,,Solid tumour (3)                                  
CANCER                        ,B505.,Malignant neoplasm of retina                                                                                                                                                                                                                                   ,Malignant neoplasm of retina                                                                                                                                                                          ,Malig neop retina             ,Malignant neoplasm of retina                                ,,Solid tumour (3)                                  
CANCER                        ,B506.,Malignant neoplasm of choroid                                                                                                                                                                                                                                  ,Malignant neoplasm of choroid                                                                                                                                                                         ,Malig neop choroid            ,Malignant neoplasm of choroid                               ,,Solid tumour (3)                                  
CANCER                        ,B507.,Malignant neoplasm of lacrimal duct                                                                                                                                                                                                                            ,Malignant neoplasm of lacrimal duct                                                                                                                                                                   ,Malig neop lacrimal duct      ,Malignant neoplasm of lacrimal duct                         ,,Solid tumour (3)                                  
CANCER                        ,B5071,Malignant neoplasm of nasolacrimal duct                                                                                                                                                                                                                        ,Malignant neoplasm of nasolacrimal duct                                                                                                                                                               ,Malig neop nasolacrimal duct  ,Malignant neoplasm of nasolacrimal duct                     ,,Solid tumour (3)                                  
CANCER                        ,B508.,"Malignant neoplasm, overlapping lesion of eye and adnexa                                                                                                                                                                                                       ","Malignant neoplasm, overlapping lesion of eye and adnexa                                                                                                                                              ","Mal neop, overlap lesn eye/adn","Malignant neoplasm, overlapping lesion of eye and adnexa    ",,Solid tumour (3)                                  
CANCER                        ,B50y.,Malignant neoplasm of other specified site of eye                                                                                                                                                                                                              ,Malignant neoplasm of other specified site of eye                                                                                                                                                     ,Malig neop oth spec site eye  ,Malignant neoplasm of other specified site of eye           ,,Solid tumour (3)                                  
CANCER                        ,B50z.,Malignant neoplasm of eye NOS                                                                                                                                                                                                                                  ,Malignant neoplasm of eye NOS                                                                                                                                                                         ,Malig neop eye NOS            ,Malignant neoplasm of eye NOS                               ,,Solid tumour (3)                                  
CANCER                        ,B51..,Malignant neoplasm of brain                                                                                                                                                                                                                                    ,Malignant neoplasm of brain                                                                                                                                                                           ,Malig neop brain              ,Malignant neoplasm of brain                                 ,,Solid tumour (3)                                  
CANCER                        ,B510.,Malignant neoplasm cerebrum (excluding lobes and ventricles)                                                                                                                                                                                                   ,Malignant neoplasm of cerebrum (excluding lobes and ventricles)                                                                                                                                       ,Malig neop cereb ex lobe/vent ,Malignant neoplasm cerebrum (excluding lobes and ventricles),Malignant neoplasm of cerebrum (excluding lobes and ventricles)                                                                                                                                       ,Solid tumour (3)                                  
CANCER                        ,B5100,Malignant neoplasm of basal ganglia                                                                                                                                                                                                                            ,Malignant neoplasm of basal ganglia                                                                                                                                                                   ,Malig neop basal ganglia      ,Malignant neoplasm of basal ganglia                         ,,Solid tumour (3)                                  
CANCER                        ,B5101,Malignant neoplasm of cerebral cortex                                                                                                                                                                                                                          ,Malignant neoplasm of cerebral cortex                                                                                                                                                                 ,Malig neop cerebral cortex    ,Malignant neoplasm of cerebral cortex                       ,,Solid tumour (3)                                  
CANCER                        ,B5104,Malignant neoplasm of hypothalamus                                                                                                                                                                                                                             ,Malignant neoplasm of hypothalamus                                                                                                                                                                    ,Malig neop hypothalamus       ,Malignant neoplasm of hypothalamus                          ,,Solid tumour (3)                                  
CANCER                        ,B5105,Malignant neoplasm of thalamus                                                                                                                                                                                                                                 ,Malignant neoplasm of thalamus                                                                                                                                                                        ,Malig neop thalamus           ,Malignant neoplasm of thalamus                              ,,Solid tumour (3)                                  
CANCER                        ,B510z,Malignant neoplasm of cerebrum NOS                                                                                                                                                                                                                             ,Malignant neoplasm of cerebrum NOS                                                                                                                                                                    ,Malig neop cerebrum NOS       ,Malignant neoplasm of cerebrum NOS                          ,,Solid tumour (3)                                  
CANCER                        ,B511.,Malignant neoplasm of frontal lobe                                                                                                                                                                                                                             ,Malignant neoplasm of frontal lobe                                                                                                                                                                    ,Malig neop frontal lobe       ,Malignant neoplasm of frontal lobe                          ,,Solid tumour (3)                                  
CANCER                        ,B512.,Malignant neoplasm of temporal lobe                                                                                                                                                                                                                            ,Malignant neoplasm of temporal lobe                                                                                                                                                                   ,Malig neop temporal lobe      ,Malignant neoplasm of temporal lobe                         ,,Solid tumour (3)                                  
CANCER                        ,B5120,Malignant neoplasm of hippocampus                                                                                                                                                                                                                              ,Malignant neoplasm of hippocampus                                                                                                                                                                     ,Malig neop hippocampus        ,Malignant neoplasm of hippocampus                           ,,Solid tumour (3)                                  
CANCER                        ,B512z,Malignant neoplasm of temporal lobe NOS                                                                                                                                                                                                                        ,Malignant neoplasm of temporal lobe NOS                                                                                                                                                               ,Malig neop temporal lobe NOS  ,Malignant neoplasm of temporal lobe NOS                     ,,Solid tumour (3)                                  
CANCER                        ,B513.,Malignant neoplasm of parietal lobe                                                                                                                                                                                                                            ,Malignant neoplasm of parietal lobe                                                                                                                                                                   ,Malig neop parietal lobe      ,Malignant neoplasm of parietal lobe                         ,,Solid tumour (3)                                  
CANCER                        ,B514.,Malignant neoplasm of occipital lobe                                                                                                                                                                                                                           ,Malignant neoplasm of occipital lobe                                                                                                                                                                  ,Malig neop occipital lobe     ,Malignant neoplasm of occipital lobe                        ,,Solid tumour (3)                                  
CANCER                        ,B515.,Malignant neoplasm of cerebral ventricles                                                                                                                                                                                                                      ,Malignant neoplasm of cerebral ventricles                                                                                                                                                             ,Malig neop ventricles         ,Malignant neoplasm of cerebral ventricles                   ,,Solid tumour (3)                                  
CANCER                        ,B5150,Malignant neoplasm of choroid plexus                                                                                                                                                                                                                           ,Malignant neoplasm of choroid plexus                                                                                                                                                                  ,Malig neop choroid plexus     ,Malignant neoplasm of choroid plexus                        ,,Solid tumour (3)                                  
CANCER                        ,B516.,Malignant neoplasm of cerebellum                                                                                                                                                                                                                               ,Malignant neoplasm of cerebellum                                                                                                                                                                      ,Malig neop cerebellum         ,Malignant neoplasm of cerebellum                            ,,Solid tumour (3)                                  
CANCER                        ,B517.,Malignant neoplasm of brain stem                                                                                                                                                                                                                               ,Malignant neoplasm of brain stem                                                                                                                                                                      ,Malig neop brain stem         ,Malignant neoplasm of brain stem                            ,,Solid tumour (3)                                  
CANCER                        ,B5170,Malignant neoplasm of cerebral peduncle                                                                                                                                                                                                                        ,Malignant neoplasm of cerebral peduncle                                                                                                                                                               ,Malig neop cerebral peduncle  ,Malignant neoplasm of cerebral peduncle                     ,,Solid tumour (3)                                  
CANCER                        ,B5171,Malignant neoplasm of medulla oblongata                                                                                                                                                                                                                        ,Malignant neoplasm of medulla oblongata                                                                                                                                                               ,Malig neop medulla oblongata  ,Malignant neoplasm of medulla oblongata                     ,,Solid tumour (3)                                  
CANCER                        ,B5172,Malignant neoplasm of midbrain                                                                                                                                                                                                                                 ,Malignant neoplasm of midbrain                                                                                                                                                                        ,Malig neop midbrain           ,Malignant neoplasm of midbrain                              ,,Solid tumour (3)                                  
CANCER                        ,B5173,Malignant neoplasm of pons                                                                                                                                                                                                                                     ,Malignant neoplasm of pons                                                                                                                                                                            ,Malig neop pons               ,Malignant neoplasm of pons                                  ,,Solid tumour (3)                                  
CANCER                        ,B517z,Malignant neoplasm of brain stem NOS                                                                                                                                                                                                                           ,Malignant neoplasm of brain stem NOS                                                                                                                                                                  ,Malig neop brain stem NOS     ,Malignant neoplasm of brain stem NOS                        ,,Solid tumour (3)                                  
CANCER                        ,B51y.,Malignant neoplasm of other parts of brain                                                                                                                                                                                                                     ,Malignant neoplasm of other parts of brain                                                                                                                                                            ,Malig neop oth parts of brain ,Malignant neoplasm of other parts of brain                  ,,Solid tumour (3)                                  
CANCER                        ,B51y0,Malignant neoplasm of corpus callosum                                                                                                                                                                                                                          ,Malignant neoplasm of corpus callosum                                                                                                                                                                 ,Malig neop corpus callosum    ,Malignant neoplasm of corpus callosum                       ,,Solid tumour (3)                                  
CANCER                        ,B51y2,"Malignant neoplasm, overlapping lesion of brain                                                                                                                                                                                                                ","Malignant neoplasm, overlapping lesion of brain                                                                                                                                                       ",Malig neop overl lesion brain ,"Malignant neoplasm, overlapping lesion of brain             ",,Solid tumour (3)                                  
CANCER                        ,B51z.,Malignant neoplasm of brain NOS                                                                                                                                                                                                                                ,Malignant neoplasm of brain NOS                                                                                                                                                                       ,Malig neop brain NOS          ,Malignant neoplasm of brain NOS                             ,,Solid tumour (3)                                  
CANCER                        ,B52..,Malig neop of other and unspecified parts of nervous system                                                                                                                                                                                                    ,Malignant neoplasm of other and unspecified parts of nervous system                                                                                                                                   ,Malig neop oth nervous system ,Malig neop of other and unspecified parts of nervous system ,Malignant neoplasm of other and unspecified parts of nervous system                                                                                                                                   ,Solid tumour (3)                                  
CANCER                        ,B5200,Malignant neoplasm of olfactory bulb                                                                                                                                                                                                                           ,Malignant neoplasm of olfactory bulb                                                                                                                                                                  ,Malig neop olfactory bulb     ,Malignant neoplasm of olfactory bulb                        ,,Solid tumour (3)                                  
CANCER                        ,B5201,Malignant neoplasm of optic nerve                                                                                                                                                                                                                              ,Malignant neoplasm of optic nerve                                                                                                                                                                     ,Malig neoplasm of optic nerve ,Malignant neoplasm of optic nerve                           ,,Solid tumour (3)                                  
CANCER                        ,B5202,Malignant neoplasm of acoustic nerve                                                                                                                                                                                                                           ,Malignant neoplasm of acoustic nerve                                                                                                                                                                  ,Malig neopl of acoustic nerve ,Malignant neoplasm of acoustic nerve                        ,,Solid tumour (3)                                  
CANCER                        ,B521.,Malignant neoplasm of cerebral meninges                                                                                                                                                                                                                        ,Malignant neoplasm of cerebral meninges                                                                                                                                                               ,Malig neop cerebral meninges  ,Malignant neoplasm of cerebral meninges                     ,,Solid tumour (3)                                  
CANCER                        ,B521z,Malignant neoplasm of cerebral meninges NOS                                                                                                                                                                                                                    ,Malignant neoplasm of cerebral meninges NOS                                                                                                                                                           ,Malig neop cereb meninges NOS ,Malignant neoplasm of cerebral meninges NOS                 ,,Solid tumour (3)                                  
CANCER                        ,B522.,Malignant neoplasm of spinal cord                                                                                                                                                                                                                              ,Malignant neoplasm of spinal cord                                                                                                                                                                     ,Malig neop spinal cord        ,Malignant neoplasm of spinal cord                           ,,Solid tumour (3)                                  
CANCER                        ,B523.,Malignant neoplasm of spinal meninges                                                                                                                                                                                                                          ,Malignant neoplasm of spinal meninges                                                                                                                                                                 ,Malig neop spinal meninges    ,Malignant neoplasm of spinal meninges                       ,,Solid tumour (3)                                  
CANCER                        ,B523z,Malignant neoplasm of spinal meninges NOS                                                                                                                                                                                                                      ,Malignant neoplasm of spinal meninges NOS                                                                                                                                                             ,Malig neop spinal meninges NOS,Malignant neoplasm of spinal meninges NOS                   ,,Solid tumour (3)                                  
CANCER                        ,B524.,Malig neopl peripheral nerves and autonomic nervous system                                                                                                                                                                                                     ,Malignant neoplasm of peripheral nerves and autonomic nervous system                                                                                                                                  ,Mal neop per nrv/auton nrv sys,Malig neopl peripheral nerves and autonomic nervous system  ,Malignant neoplasm of peripheral nerves and autonomic nervous system                                                                                                                                  ,Solid tumour (3)                                  
CANCER                        ,B5240,"Malignant neoplasm of peripheral nerves of head, face & neck                                                                                                                                                                                                   ","Malignant neoplasm of peripheral nerves of head, face and neck                                                                                                                                        ",Mal neo per nrv head/face/neck,"Malignant neoplasm of peripheral nerves of head, face & neck","Malignant neoplasm of peripheral nerves of head, face and neck                                                                                                                                        ",Solid tumour (3)                                  
CANCER                        ,B5241,"Malignant neoplasm of peripheral nerve,upp limb,incl should                                                                                                                                                                                                    ","Malignant neoplasm of peripheral nerves of upper limb, including shoulder                                                                                                                             ","Mal neo per nv up limb, inc sh","Malignant neoplasm of peripheral nerve,upp limb,incl should ","Malignant neoplasm of peripheral nerves of upper limb, including shoulder                                                                                                                             ",Solid tumour (3)                                  
CANCER                        ,B5242,"Malignant neoplasm of peripheral nerve of low limb, incl hip                                                                                                                                                                                                   ","Malignant neoplasm of peripheral nerves of lower limb, including hip                                                                                                                                  ","Mal neo per nv low lmb,inc hip","Malignant neoplasm of peripheral nerve of low limb, incl hip","Malignant neoplasm of peripheral nerves of lower limb, including hip                                                                                                                                  ",Solid tumour (3)                                  
CANCER                        ,B5243,Malignant neoplasm of peripheral nerve of thorax                                                                                                                                                                                                               ,Malignant neoplasm of peripheral nerve of thorax                                                                                                                                                      ,Malig neopl periph nerv thorax,Malignant neoplasm of peripheral nerve of thorax            ,,Solid tumour (3)                                  
CANCER                        ,B5244,Malignant neoplasm of peripheral nerve of abdomen                                                                                                                                                                                                              ,Malignant neoplasm of peripheral nerve of abdomen                                                                                                                                                     ,Malig neopl periph nerve abdom,Malignant neoplasm of peripheral nerve of abdomen           ,,Solid tumour (3)                                  
CANCER                        ,B5245,Malignant neoplasm of peripheral nerve of pelvis                                                                                                                                                                                                               ,Malignant neoplasm of peripheral nerve of pelvis                                                                                                                                                      ,Malig neopl periph nerv pelvis,Malignant neoplasm of peripheral nerve of pelvis            ,,Solid tumour (3)                                  
CANCER                        ,B5246,"Malignant neoplasm,overlap lesion periph nerve & auton ns                                                                                                                                                                                                      ","Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system                                                                                                              ","Ml neo,ovlap les per nv/aut ns","Malignant neoplasm,overlap lesion periph nerve & auton ns   ","Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system                                                                                                              ",Solid tumour (3)                                  
CANCER                        ,B525.,Malignant neoplasm of cauda equina                                                                                                                                                                                                                             ,Malignant neoplasm of cauda equina                                                                                                                                                                    ,Malig neoplasm of cauda equina,Malignant neoplasm of cauda equina                          ,,Solid tumour (3)                                  
CANCER                        ,B52W.,"Malig neopl, overlap lesion brain & other part of CNS                                                                                                                                                                                                          ","Malignant neoplasm, overlapping lesion of brain and other part of central nervous system                                                                                                              ",Mal neo o'lap les br/ot CNS   ,"Malig neopl, overlap lesion brain & other part of CNS       ","Malignant neoplasm, overlapping lesion of brain and other part of central nervous system                                                                                                              ",Solid tumour (3)                                  
CANCER                        ,B52X.,"Malignant neoplasm of meninges, unspecified                                                                                                                                                                                                                    ","Malignant neoplasm of meninges, unspecified                                                                                                                                                           ","Mal neop meninges, unspec     ","Malignant neoplasm of meninges, unspecified                 ",,Solid tumour (3)                                  
CANCER                        ,B52y.,Malignant neoplasm of other specified part of nervous system                                                                                                                                                                                                   ,Malignant neoplasm of other specified part of nervous system                                                                                                                                          ,Malig neop oth spec nerv syst ,Malignant neoplasm of other specified part of nervous system,,Solid tumour (3)                                  
CANCER                        ,B52z.,Malignant neoplasm of nervous system NOS                                                                                                                                                                                                                       ,Malignant neoplasm of nervous system NOS                                                                                                                                                              ,Malig neop nervous system NOS ,Malignant neoplasm of nervous system NOS                    ,,Solid tumour (3)                                  
CANCER                        ,B53..,Malignant neoplasm of thyroid gland                                                                                                                                                                                                                            ,Malignant neoplasm of thyroid gland                                                                                                                                                                   ,Malig neop thyroid gland      ,Malignant neoplasm of thyroid gland                         ,,Solid tumour (3)                                  
CANCER                        ,B54..,Malig neop of other endocrine glands and related structures                                                                                                                                                                                                    ,Malignant neoplasm of other endocrine glands and related structures                                                                                                                                   ,Malig neop oth endocrine gland,Malig neop of other endocrine glands and related structures ,Malignant neoplasm of other endocrine glands and related structures                                                                                                                                   ,Solid tumour (3)                                  
